Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,TVC
0C_456h_map_b_b2,11.35196,13.15322,14.96816,14.3041,10.48262,6.719435,7.85898,13.85988,7.534111,6.182644,3.89414,3.710023,3.145986,2.120117,2.609381,4.525334,9.93
0C_72h_map_a_b2,12.5212,13.86424,13.85703,12.5726,10.05619,6.421218,6.764068,11.59859,7.877719,6.893372,4.019522,3.550649,3.250165,2.142803,2.414257,4.424048,3.9
0C_72h_map_b_b2,12.84433,14.28654,14.54659,13.24128,10.37595,6.564797,6.871901,11.69637,7.878541,6.931158,4.23785,3.855922,3.479779,2.309855,2.519063,4.388987,4.11
0C_96h_map_a_b2,10.45292,12.52005,13.6433,12.43694,9.833472,6.442525,6.851093,11.5483,7.354092,6.636371,3.99943,3.51478,3.182394,2.171659,2.483319,4.413465,3.95
10C_120h_map_a_b2,12.02496,13.73559,13.7461,12.74688,9.28975,6.190753,7.015162,12.11434,7.60535,6.772219,4.214318,4.159277,3.276669,2.230268,2.659505,4.476179,8.58
10C_120h_map_b_b2,12.41777,14.16461,14.4014,13.23892,9.489104,6.383826,7.258221,12.46596,7.519716,6.474434,3.730205,3.255168,2.556677,1.854379,2.227174,3.733654,8.65
10C_48h_map_a_b2,12.43728,13.46197,13.8859,12.79544,10.05033,6.581882,7.04411,11.92991,7.635109,6.438106,4.331713,4.094069,3.463398,2.304037,2.642155,4.559419,5.07
10C_48h_map_b_b2,12.03971,12.96322,13.26979,12.13036,9.548009,6.286422,6.71674,11.36441,7.640882,6.454215,3.937437,3.44531,2.926225,2.050519,2.324057,3.951138,4.79
10C_48h_map_c_b2,12.03825,13.52329,13.79688,12.60361,9.935079,6.444615,6.922319,12.06672,7.68486,6.557795,4.006361,3.623416,3.135783,2.106001,2.492089,4.551566,5.05
10C_48h_map_d_b2,12.08997,13.17721,13.47261,12.29225,9.833714,6.430366,6.834116,11.70266,7.538626,6.296311,3.692833,3.054798,2.638356,1.880881,2.15479,3.778924,5.13
10C_72h_map_a_b2,12.94339,14.08762,14.3627,13.5095,10.70603,6.822591,7.341871,12.91046,8.002751,6.915711,4.322875,4.216511,3.811891,2.502731,2.831121,5.127701,7.06
10C_96h_map_a_b2,10.05903,12.5928,13.42845,12.35077,9.218649,6.164718,6.795237,11.52911,7.171155,6.335805,3.693736,3.192006,2.567404,1.800641,2.189716,3.720042,7.46
10C_96h_map_b_b2,9.99719,12.18602,12.88923,12.1288,8.955103,6.068321,6.80125,11.60583,7.230659,6.340413,3.417652,3.115658,2.577256,1.811788,2.140809,3.582351,7.61
5C_120h_map_a_b2,11.72949,13.40345,13.30063,12.2702,8.958043,5.996804,6.528032,11.00552,7.449807,6.61069,3.591487,3.180577,2.550719,1.977191,2.143961,3.504541,5.72
5C_120h_map_b_b2,12.045,13.48036,13.42361,12.29343,9.408336,6.259688,6.885364,11.60895,7.616574,6.540287,4.35378,3.959651,3.186565,2.013189,2.517087,4.696902,5.92
5C_144h_map_a_b2,11.22645,12.80841,13.55634,12.54499,9.225597,6.081427,6.895429,11.804,7.542854,6.843189,4.361228,4.030936,3.405364,2.246103,2.714653,4.779949,6.18
5C_144h_map_b_b2,11.55004,13.15047,13.26922,12.20262,9.138135,6.14214,6.799699,11.25277,7.511126,6.73631,4.05226,3.50078,2.888692,2.045947,2.406766,4.001963,6.18
5C_216h_map_a_b2,11.78417,13.31141,14.48009,13.46665,9.665427,6.38892,7.507711,13.04428,7.357839,6.432246,3.953503,3.425875,2.836864,2.032322,2.532262,4.360361,8.13
5C_216h_map_b_b2,12.1617,13.57137,14.73731,13.76294,10.29421,6.67316,7.611322,13.24059,7.322244,6.347369,3.98509,3.615905,3.179273,2.136265,2.647067,4.727638,7.84
5C_216h_map_c_b2,12.6675,14.21135,15.76393,14.7543,10.78924,6.850758,7.890098,13.73908,7.374781,6.380843,4.0916,3.878267,3.357909,2.270871,2.740811,4.582238,7.54
5C_216h_map_e_b2,11.77573,13.39435,14.39052,13.347,9.525195,6.321661,7.309245,12.55541,7.258019,6.21039,3.898163,3.561673,2.987277,2.017867,2.444838,4.200308,7.73
5C_216h_map_f_b2,11.90309,13.43793,14.66454,13.52179,9.738084,6.46609,7.53881,13.00033,7.370709,6.363566,3.858554,3.395195,3.030534,2.137651,2.577686,4.275569,7.81
5C_216h_map_g_b2,11.33021,13.06991,13.83765,12.89482,9.167822,6.137463,7.010425,12.00081,7.3604,6.428694,3.871059,3.522823,2.823813,1.982294,2.416532,4.047333,8.18
5C_216h_map_h_b2,11.81618,13.37557,14.3721,13.44175,10.01504,6.530154,7.379562,12.81409,7.435977,6.504452,4.21942,3.892102,3.459345,2.253081,2.785808,4.940167,7.94
5C_240h_map_a_b2,12.10879,13.21432,13.83129,12.98112,9.063328,6.122626,7.342563,12.65283,7.283566,6.338019,3.875108,3.620056,3.124544,2.067682,2.599618,4.312036,8.51
5C_240h_map_b_b2,11.56149,13.00609,13.78771,12.82462,8.663035,5.940953,7.08745,12.25335,7.126145,6.417687,3.746058,3.143877,2.348962,1.784003,2.313234,4.078496,8.48
5C_240h_map_c_b2,12.77658,14.19528,15.13397,14.52923,9.970271,6.562593,7.782574,13.60921,7.122786,6.139899,3.621418,3.585569,2.994919,1.966934,2.503086,4.469152,8.07
5C_240h_map_d_b2,12.75005,14.40937,15.18924,14.30248,9.747597,6.435636,7.657955,13.2605,7.232963,6.382912,3.721713,3.495136,2.894955,2.025654,2.468399,3.928004,8.25
5C_240h_map_f_b2,11.91458,14.03984,14.26562,13.27163,9.000297,6.140203,7.304343,12.51733,7.188618,6.685849,3.651537,3.212709,2.462907,1.922381,2.459688,3.860884,8.72
5C_72h_map_a_b2,12.89407,14.07608,14.14894,13.00535,9.970401,6.490456,6.974213,11.83632,7.896372,6.788251,3.861755,3.599502,3.190163,2.154888,2.404915,3.941446,4.15
5C_72h_map_b_b2,13.15326,14.49487,14.65086,13.62961,10.48432,6.719297,7.310954,12.59014,8.133124,7.038991,4.736633,4.690321,4.103737,2.578531,2.938286,4.952661,4.18
5C_96h_map_a_b2,10.84674,13.72614,15.16248,13.90787,10.14853,6.619908,7.265971,12.50308,7.157147,6.372997,4.011213,3.641222,3.056162,1.985675,2.379805,4.330111,4.95
5C_96h_map_b_b2,10.32242,12.84939,14.12278,12.76674,9.736296,6.444301,7.014363,11.89242,7.141365,6.373493,4.042103,3.666028,3.157002,2.132531,2.484101,4.194139,4.81
0C_456h_air_a_b1,12.3596,13.36404,12.75655,11.82586,9.37143,6.439786,6.998364,11.45221,8.015045,6.819124,3.889955,3.370168,2.941172,2.071914,2.437193,4.051095,6.94
0C_456h_air_b_b1,12.03098,13.10781,12.45697,11.51612,8.992216,6.311288,6.961963,11.22194,8.036538,6.780593,3.659878,3.106744,2.720682,2.139181,2.586251,4.111818,7.33
