Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18,
0C_48h_air_d_b1,16.58901,19.61757,24.03307,30.73892,31.82524,29.89515,26.97573,33.29157,50.57032,53.97028,54.93883,58.38968,56.32778,54.78739,52.33259,45.36405,43.03035,33.7485,3.912608,4.404928,4.763297,5.154515,5.100019,5.05635,4.90903,5.194126,5.533922,5.698858,5.823545,6.131044,6.341862,6.216535,6.028431,4.958782,4.804235,4.00449,
0C_96h_air_a_b1,16.55413,19.90195,23.35733,28.27332,30.17875,28.69247,25.57922,33.25952,49.15977,52.24534,53.42041,57.02794,54.39977,52.8895,50.61039,44.51438,42.48219,34.3049,4.14439,4.820388,5.047982,5.279356,5.380361,5.34588,5.151999,5.777451,6.171661,6.249508,6.343543,6.564324,6.717349,6.657055,6.595665,5.755676,5.736992,5.266637,
0C_96h_air_b_b1,15.53456,20.01486,23.99508,29.20541,31.60962,30.38058,28.37633,36.26196,50.92503,54.06911,55.34822,59.25997,56.04346,54.38272,51.90252,45.18855,42.96993,34.05545,4.075884,5.246541,5.644564,6.03121,6.073229,6.117557,6.507808,6.569482,6.494685,6.680268,6.847703,7.259646,7.124891,6.989932,6.857296,5.812917,5.687331,4.812482,
0C_96h_air_c_b1,18.13027,22.88483,27.05384,32.59143,34.46423,33.09541,31.14105,37.74612,52.69773,55.88457,57.16304,61.02626,58.02905,56.3376,53.78947,46.68657,44.36374,35.02056,4.222167,4.852842,5.206775,5.687657,5.708888,5.63125,5.512614,5.787866,6.282305,6.388907,6.470718,6.570369,6.700129,6.609764,6.514277,5.539028,5.440328,4.744846,
0C_96h_air_d_b1,17.26825,22.81341,26.63671,31.07132,33.31761,32.48761,31.52321,38.92667,50.50859,53.8007,55.44649,60.67501,57.02936,55.24877,52.60748,45.60409,43.34088,34.29935,3.896312,4.815604,5.102341,5.365157,5.515257,5.595091,6.230475,6.032012,6.118488,6.187841,6.332854,6.691869,6.873135,6.756621,6.614076,5.591622,5.488201,4.768891,
10C_0h_air_a_b1,16.5491,19.62942,24.79381,32.53721,33.10266,30.88901,27.4461,34.52681,51.8292,55.00446,56.1853,59.80755,57.10439,55.28102,52.61378,45.27284,42.86214,33.51363,4.015319,4.742962,5.080589,5.347475,5.231299,5.205418,5.078104,5.170367,4.676518,4.603425,4.649951,4.64486,4.677124,4.632329,4.613866,4.185872,4.226586,4.149417,
10C_0h_air_b_b1,18.91498,22.80219,27.75541,34.87893,35.95247,33.93846,30.28582,37.16643,52.96247,55.80933,56.86023,60.09071,57.8065,56.19598,53.87936,47.13557,44.98243,36.3798,4.398266,5.668632,5.941547,6.000999,5.950247,5.908,5.594626,6.059522,6.088664,6.165175,6.248271,6.406517,6.694207,6.635606,6.62724,5.825063,5.764521,5.144353,
10C_0h_air_c_b1,15.64005,18.56986,22.76303,29.07471,30.04708,28.16082,25.25789,31.92866,48.94903,52.19212,53.29569,57.03229,55.58697,54.0171,51.67419,44.87837,42.57472,33.66935,3.631644,4.120844,4.344193,4.661302,4.661205,4.591887,4.325263,4.696787,5.169058,5.342215,5.476502,5.824136,6.316527,6.210561,6.09815,5.119641,4.99143,4.259723,
10C_0h_air_d_b1,19.31207,22.57693,27.46945,34.89239,35.96443,33.85661,30.58797,37.0701,53.31504,56.26777,57.34484,60.2611,56.98566,55.30884,52.91495,46.02591,43.72514,34.73014,3.963185,4.367918,4.829914,5.511714,5.451109,5.423431,5.625505,5.243251,5.141967,5.265395,5.405036,5.615311,5.706501,5.582266,5.4487,4.578555,4.472521,3.910586,
10C_48h_air_a_b1,17.71077,22.13391,25.75269,30.17885,31.07024,29.98968,29.34297,34.45639,50.34349,54.49726,56.02797,60.7521,57.7277,56.20879,53.75219,46.46336,44.06503,34.43649,3.440971,4.130354,4.449366,4.806627,4.939471,4.953286,5.530724,5.265192,5.179165,5.413628,5.57986,5.937783,5.996824,5.85313,5.670734,4.649408,4.508779,3.788358,
10C_48h_air_b_b1,16.81235,19.92373,23.56252,28.38398,29.66376,28.31099,26.33824,32.12382,51.12617,55.18731,56.35202,59.33048,56.46161,55.64848,52.66603,45.54493,43.16609,33.66579,3.710857,4.219689,4.437014,4.640345,4.677855,4.692247,4.794907,4.811862,4.811952,4.992102,5.103159,5.459442,5.901445,5.878801,5.693515,4.816535,4.737254,4.22164,
10C_48h_air_c_b1,18.34976,22.11359,25.68273,30.0971,30.77808,29.55781,27.32025,33.5743,49.16338,52.7227,53.93671,57.74844,54.3115,52.84779,50.49567,43.93159,41.69017,32.82033,5.496045,5.514911,5.568594,5.684546,5.433872,5.319021,4.96128,5.119305,6.246924,6.455179,6.54054,6.785748,7.004936,6.865566,6.699151,5.568654,5.391393,4.477663,
10C_48h_air_d_b1,16.59056,20.9057,24.66998,29.31964,31.11157,30.14248,29.49782,34.8489,51.42971,55.25423,56.5071,59.78425,56.54036,55.16012,52.86704,45.95489,43.63723,34.36329,4.083591,4.346929,4.46326,4.611378,4.599387,4.501019,4.319286,4.71648,6.404641,6.767896,6.936311,7.213924,7.74018,7.66936,7.536905,6.313101,6.17296,5.279954,
10C_96h_air_a_b1,16.79881,18.76616,22.43757,27.6539,29.05419,27.53402,25.18221,30.81631,46.09301,49.91792,51.26612,54.66417,54.05165,52.81369,50.76295,44.41215,42.12739,33.2731,4.109142,4.741259,5.072172,5.336145,5.160973,5.091421,4.878294,5.112092,5.637668,5.571803,5.633125,5.613173,5.711737,5.663176,5.605849,4.78342,4.648382,3.872207,
10C_96h_air_b_b1,17.48712,19.93596,24.22047,30.5597,32.41314,30.80912,28.99226,34.8354,52.14376,56.14421,57.46884,60.6768,58.58604,57.05429,54.57108,47.14993,44.70573,34.91494,5.143177,5.809149,6.114018,6.117276,5.678006,5.570193,5.241299,5.407035,5.820883,5.909441,5.998654,6.051441,6.03769,5.981217,5.945724,5.187142,5.137555,4.60283,
10C_96h_air_c_b1,17.60976,20.39326,23.86463,28.62959,30.40322,29.16467,27.10747,32.89313,49.43857,53.58406,55.05231,58.15729,56.61404,55.39186,53.38221,46.80984,44.52655,35.46387,4.221848,4.580201,4.951709,5.268537,4.982853,4.850636,4.530219,4.815722,5.263617,5.321831,5.399375,5.530615,5.868054,5.847123,5.831472,5.080419,4.993024,4.353637,
