Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,
10C_0h_map_b_b1,19.46387,21.1563,28.35136,28.38624,22.48723,15.25059,14.42908,26.54003,9.015683,7.516142,6.748071,8.019974,8.017769,5.900403,5.421835,7.46919,
10C_0h_map_c_b1,19.41623,20.76841,29.79199,30.10606,23.36856,15.92067,14.68879,25.34757,8.471015,7.942443,6.392892,6.934461,6.649655,6.103663,5.431693,6.39427,
10C_0h_map_d_b1,18.94688,19.58446,27.90694,29.62739,23.34722,15.60813,14.9818,26.79587,8.72944,7.132467,6.467517,6.911288,5.676842,4.526733,4.347683,5.639187,
10C_24h_map_a_b1,20.57349,20.45501,31.74198,33.21394,28.07705,18.94809,18.74073,28.4414,8.421815,7.312881,8.04114,8.384408,8.44814,7.184925,7.672458,8.097082,
10C_24h_map_b_b1,20.73878,21.15309,32.05402,32.49202,26.00713,17.2795,16.2543,26.98734,8.849576,7.295036,7.240927,7.620241,6.959889,5.700833,6.359571,7.065238,
10C_24h_map_c_b1,19.49513,20.71524,27.18167,28.43078,22.9588,15.75861,15.3204,26.56893,8.868193,7.540199,6.411906,7.176759,7.761135,6.887251,6.51356,8.540923,
10C_24h_map_d_b1,21.05257,21.27685,30.4353,31.13929,25.72018,17.22352,16.11382,28.00233,8.917283,7.396799,10.13806,9.726266,9.834381,8.031599,7.38963,9.739489,
10C_96h_map_a_b1,18.00727,17.47065,25.62274,26.95876,23.26323,15.52307,15.80746,24.52118,8.423659,7.084748,6.835229,6.861671,6.982798,5.844646,6.307254,7.741325,
10C_96h_map_b_b1,16.94008,15.758,23.72395,24.76141,20.6376,13.56178,12.72795,20.03158,8.60889,7.632699,7.2554,7.676402,7.424645,5.812678,5.625589,7.094923,
10C_96h_map_c_b1,19.54155,20.70282,27.72513,29.31818,24.76646,16.55062,15.49084,26.51371,8.442486,7.47434,5.979058,6.149516,6.630165,5.525058,4.814245,6.658548,
10C_96h_map_d_b1,18.02898,17.85341,27.43252,28.04909,23.20437,15.27626,14.23648,22.45998,8.269965,7.473731,8.581939,7.771494,6.848934,6.219644,5.307203,8.113299,
5C_0h_map_a_b1,20.78184,23.30779,31.84263,34.53388,28.70094,20.06187,18.81708,32.67233,8.190232,7.863527,4.771008,5.063153,4.617226,5.405013,5.64811,4.687377,
5C_0h_map_b_b1,17.01244,18.47368,25.32525,24.99327,18.73262,12.47987,12.55707,21.59978,8.796625,8.121206,6.458476,6.041228,4.717566,4.385311,5.477655,7.018084,
5C_0h_map_c_b1,17.96522,19.77911,25.70804,26.43362,21.41268,15.05735,14.2701,27.07585,8.711172,8.212993,6.812861,6.063697,5.980816,8.15384,8.411973,11.45527,
5C_0h_map_d_b1,19.2625,19.27837,30.74437,30.78233,24.56394,16.28605,17.19518,27.36596,9.727259,7.091028,8.091759,7.466741,6.809347,5.930067,7.296218,7.632244,
5C_168h_map_a_b1,18.79907,18.42764,27.30999,28.2945,23.35115,15.3885,15.18019,22.89575,8.274721,7.027548,6.348998,6.105646,6.161494,5.209048,5.605399,6.008031,
5C_168h_map_b_b1,18.53374,18.01112,26.56851,27.63997,24.17441,16.56216,16.67094,25.46031,8.201599,7.203355,7.304603,7.250185,7.872263,6.882521,6.15728,7.443766,
5C_168h_map_c_b1,20.70841,20.56347,30.39693,32.17136,27.83984,18.88033,18.5845,29.35328,8.144037,7.418501,7.568545,7.727852,8.173746,6.544614,6.337024,8.390547,
5C_168h_map_d_b1,20.05804,20.18835,30.02559,32.12753,27.12879,18.65062,19.45143,30.12367,8.580626,7.381125,6.351915,7.402171,7.723346,8.348521,6.861969,7.407614,
5C_168h_map_e_b1,19.05862,18.8929,27.19021,28.29968,23.90316,15.30426,15.01256,24.8979,8.777272,7.635619,7.407466,7.993336,8.75106,6.930727,6.822136,8.95552,
5C_168h_map_f_b1,20.74718,21.46965,31.0303,32.35184,26.19484,17.2815,16.69188,27.3756,8.284885,7.882073,6.295906,6.268188,5.400343,4.519253,4.546937,6.363028,
5C_216h_map_a_b1,14.42599,16.73697,26.39732,27.76922,23.27546,15.13698,14.51222,23.9408,8.328345,7.02079,6.150759,6.374512,6.183461,4.755394,4.926677,6.794535,
5C_216h_map_b_b1,14.57857,17.28368,26.50525,27.37901,22.63273,14.92975,14.61876,24.61003,8.024349,7.060656,5.114181,5.511219,6.591454,5.581603,5.290741,6.842592,
5C_216h_map_c_b1,12.11042,15.39431,24.36976,25.39934,22.11228,14.69705,13.3806,20.10862,7.800142,7.187368,6.060472,5.630144,9.982972,8.491184,7.873639,6.559302,
5C_216h_map_d_b1,15.1064,17.92584,27.38046,28.98932,24.1546,16.68063,15.73899,25.30783,8.2691,6.910127,5.61953,5.707783,5.992648,6.4963,8.197688,7.20918,
5C_216h_map_e_b1,13.15682,14.751,25.65448,27.20312,22.74564,15.25333,14.42445,21.75713,8.688749,7.223545,8.720092,8.643769,8.417185,6.661592,7.735238,6.827402,
5C_216h_map_f_b1,15.59983,17.93111,28.68179,29.95112,25.47943,16.79905,15.30796,25.35604,8.805944,7.560334,7.966556,9.235948,12.09478,10.05003,9.917083,11.39198,
5C_240h_map_a_b1,14.71555,16.63188,27.58458,28.32132,23.56756,15.19985,14.83027,23.41178,8.894394,7.267385,7.672193,7.359645,6.656435,5.396784,6.156693,7.28181,
